word,tier,source
a,A1,curated-sample
an,A1,curated-sample
the,A1,curated-sample
and,A1,curated-sample
but,A1,curated-sample
so,A1,curated-sample
or,A1,curated-sample
then,A1,curated-sample
when,A1,curated-sample
there,A1,curated-sample
here,A1,curated-sample
this,A1,curated-sample
that,A1,curated-sample
it,A1,curated-sample
he,A1,curated-sample
she,A1,curated-sample
they,A1,curated-sample
we,A1,curated-sample
you,A1,curated-sample
i,A1,curated-sample
him,A1,curated-sample
her,A1,curated-sample
them,A1,curated-sample
his,A1,curated-sample
not,A1,curated-sample
no,A1,curated-sample
yes,A1,curated-sample
very,A1,curated-sample
too,A1,curated-sample
be,A1,curated-sample
have,A1,curated-sample
do,A1,curated-sample
to,A1,curated-sample
of,A1,curated-sample
in,A1,curated-sample
on,A1,curated-sample
at,A1,curated-sample
with,A1,curated-sample
for,A1,curated-sample
up,A1,curated-sample
out,A1,curated-sample
down,A1,curated-sample
into,A2,curated-sample
again,A2,curated-sample
all,A1,curated-sample
one,A1,curated-sample
two,A1,curated-sample
some,A1,curated-sample
more,A2,curated-sample
now,A1,curated-sample
day,A1,curated-sample
night,A1,curated-sample
morning,A1,curated-sample
cat,A1,curated-sample
dog,A1,curated-sample
house,A1,curated-sample
home,A1,curated-sample
door,A1,curated-sample
window,A1,curated-sample
box,A1,curated-sample
book,A1,curated-sample
friend,A1,curated-sample
garden,A2,curated-sample
street,A1,curated-sample
food,A1,curated-sample
water,A1,curated-sample
hand,A1,curated-sample
eye,A1,curated-sample
name,A1,curated-sample
story,A1,curated-sample
word,A1,curated-sample
room,A1,curated-sample
table,A1,curated-sample
chair,A1,curated-sample
tree,A1,curated-sample
bird,A1,curated-sample
fish,A1,curated-sample
key,A2,curated-sample
hat,A1,curated-sample
rain,A1,curated-sample
sun,A1,curated-sample
wall,A2,curated-sample
floor,A2,curated-sample
cheese,A2,curated-sample
mouse,A2,curated-sample
park,A1,curated-sample
run,A1,curated-sample
walk,A1,curated-sample
look,A1,curated-sample
see,A1,curated-sample
find,A2,curated-sample
want,A1,curated-sample
like,A1,curated-sample
make,A1,curated-sample
eat,A1,curated-sample
sleep,A1,curated-sample
open,A1,curated-sample
close,A1,curated-sample
help,A1,curated-sample
play,A1,curated-sample
work,A1,curated-sample
read,A1,curated-sample
say,A1,curated-sample
ask,A1,curated-sample
jump,A2,curated-sample
hide,A2,curated-sample
catch,A2,curated-sample
laugh,A2,curated-sample
smile,A2,curated-sample
live,A1,curated-sample
come,A1,curated-sample
go,A1,curated-sample
get,A1,curated-sample
give,A1,curated-sample
know,A1,curated-sample
think,A2,curated-sample
tell,A2,curated-sample
feel,A2,curated-sample
sit,A1,curated-sample
stand,A1,curated-sample
hear,A2,curated-sample
call,A1,curated-sample
love,A1,curated-sample
need,A2,curated-sample
stop,A1,curated-sample
start,A2,curated-sample
big,A1,curated-sample
small,A1,curated-sample
happy,A1,curated-sample
sad,A1,curated-sample
quick,A2,curated-sample
slow,A1,curated-sample
old,A1,curated-sample
new,A1,curated-sample
good,A1,curated-sample
bad,A1,curated-sample
funny,A2,curated-sample
quiet,A2,curated-sample
loud,A2,curated-sample
cold,A1,curated-sample
warm,A2,curated-sample
hungry,A1,curated-sample
kind,A2,curated-sample
red,A1,curated-sample
blue,A1,curated-sample
green,A1,curated-sample
